"No.","Time","Source","Destination","Protocol","Length","Info"
"36","0.245444","64:ff9b::cc4f:c5cb","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  54031 [ACK] Seq=1 Ack=411 Win=16382 Len=1380 [TCP PDU reassembled in 38]"
"37","0.262643","64:ff9b::cc4f:c5cb","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  54031 [ACK] Seq=1381 Ack=411 Win=16382 Len=1380 [TCP PDU reassembled in 38]"
"38","0.262643","64:ff9b::cc4f:c5cb","2402:8100:319f:dfc1:4566:6720:20cd:8d51","OCSP","82","Response"
"39","0.262760","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::cc4f:c5cb","TCP","74","54031  >  80 [ACK] Seq=411 Ack=2769 Win=255 Len=0"
"40","0.276765","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","HTTP","270","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?033f7f39422780e6 HTTP/1.1 "
"41","0.366967","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","80  >  60305 [ACK] Seq=1 Ack=197 Win=8 Len=0"
"42","0.367971","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1276","80  >  60305 [ACK] Seq=1 Ack=197 Win=8 Len=1202 [TCP PDU reassembled in 49]"
"43","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  60305 [ACK] Seq=1203 Ack=197 Win=8 Len=1380 [TCP PDU reassembled in 49]"
"44","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  60305 [PSH, ACK] Seq=2583 Ack=197 Win=8 Len=1380 [TCP PDU reassembled in 49]"
"45","0.379440","64:ff9b::3369:4788","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  60308 [ACK] Seq=446 Ack=1805 Win=16387 Len=0"
"46","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  60305 [ACK] Seq=3963 Ack=197 Win=8 Len=1380 [TCP PDU reassembled in 49]"
"47","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  60305 [PSH, ACK] Seq=5343 Ack=197 Win=8 Len=1380 [TCP PDU reassembled in 49]"
"48","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  60305 [ACK] Seq=6723 Ack=197 Win=8 Len=1380 [TCP PDU reassembled in 49]"
"49","0.379440","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","HTTP","244","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"50","0.379588","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","74","60305  >  80 [ACK] Seq=197 Ack=8273 Win=255 Len=0"
"51","0.399633","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","86","61100  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"52","0.473562","64:ff9b::3369:4788","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  60308 [ACK] Seq=446 Ack=2639 Win=16384 Len=0"
"53","0.483844","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TLSv1.2","366","Application Data"
"54","0.484067","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","1454","63591  >  443 [ACK] Seq=293 Ack=1 Win=255 Len=1380 [TCP PDU reassembled in 57]"
"55","0.484067","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","1454","63591  >  443 [ACK] Seq=1673 Ack=1 Win=255 Len=1380 [TCP PDU reassembled in 57]"
"56","0.484067","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TCP","1454","63591  >  443 [ACK] Seq=3053 Ack=1 Win=255 Len=1380 [TCP PDU reassembled in 57]"
"57","0.484067","2402:8100:319f:dfc1:4566:6720:20cd:8d51","64:ff9b::287e:1221","TLSv1.2","687","Application Data"
"58","0.487596","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","86","80  >  61100 [SYN, ACK] Seq=0 Ack=1 Win=31680 Len=0 MSS=1380 SACK_PERM WS=4096"
"59","0.487785","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","TCP","74","61100  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"60","0.488210","2402:8100:319f:dfc1:4566:6720:20cd:8d51","2a03:90c0:321:2803::252","HTTP","276","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?e781b3f097979677 HTTP/1.1 "
"61","0.532757","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  63591 [ACK] Seq=1 Ack=1673 Win=49157 Len=0"
"62","0.536230","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  63591 [ACK] Seq=1 Ack=4433 Win=49157 Len=0"
"63","0.577719","64:ff9b::287e:1221","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","443  >  63591 [ACK] Seq=1 Ack=5046 Win=49154 Len=0"
"64","0.592585","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","74","80  >  61100 [ACK] Seq=1 Ack=203 Win=32768 Len=0"
"65","0.592915","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [ACK] Seq=1 Ack=203 Win=32768 Len=1380 [TCP PDU reassembled in 68]"
"66","0.593536","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [PSH, ACK] Seq=1381 Ack=203 Win=32768 Len=1380 [TCP PDU reassembled in 68]"
"67","0.593536","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","TCP","1454","80  >  61100 [ACK] Seq=2761 Ack=203 Win=32768 Len=1380 [TCP PDU reassembled in 68]"
"68","0.593536","2a03:90c0:321:2803::252","2402:8100:319f:dfc1:4566:6720:20cd:8d51","HTTP","1396","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
